time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,4.8063853e23,4.8063856e23,-3.6028797e16,-7.4960276e-8,5.2274627e15,1.087608e-8,4.8063853e23,0.0
3600.0,4.8054053e23,4.805415e23,-9.727775e17,-2.0243401e-6,1.3000115e21,0.0027053107,4.8054053e23,0.0
7200.0,4.8044422e23,4.8044603e23,-1.8014399e18,-3.7495297e-6,1.3763442e21,0.0028647326,4.8044422e23,0.0
10800.0,4.8035444e23,4.803574e23,-2.9543614e18,-6.150378e-6,1.4527926e21,0.003024418,4.8035444e23,0.0
14400.0,4.802705e23,4.8027453e23,-4.0352253e18,-8.401985e-6,1.5274824e21,0.0031804626,4.802705e23,0.0
18000.0,4.8019137e23,4.8019667e23,-5.296233e18,-1.1029421e-5,1.6000504e21,0.00333211,4.8019137e23,0.0
21600.0,4.801165e23,4.8012292e23,-6.413126e18,-1.3357437e-5,1.6722093e21,0.003482924,4.801165e23,0.0
25200.0,4.8004503e23,4.8005266e23,-7.638105e18,-1.5911226e-5,1.74556e21,0.0036362424,4.8004503e23,0.0
28800.0,4.799767e23,4.799856e23,-8.899113e18,-1.8540717e-5,1.818381e21,0.0037884775,4.799767e23,0.0
32400.0,4.799108e23,4.7992087e23,-1.0088063e19,-2.1020705e-5,1.890388e21,0.0039390405,4.799108e23,0.0
36000.0,4.798463e23,4.7985775e23,-1.1457157e19,-2.3876724e-5,1.9597536e21,0.004084128,4.798463e23,0.0
39600.0,4.797826e23,4.7979538e23,-1.2790223e19,-2.6658372e-5,2.0273432e21,0.0042255456,4.797826e23,0.0
43200.0,4.7971965e23,4.7973374e23,-1.408726e19,-2.9365608e-5,2.0950451e21,0.004367228,4.7971965e23,0.0
46800.0,4.796578e23,4.7967306e23,-1.527621e19,-3.1848143e-5,2.1624719e21,0.004508364,4.796578e23,0.0
50400.0,4.7959686e23,4.7961347e23,-1.6609275e19,-3.4631743e-5,2.2300994e21,0.0046499455,4.7959686e23,0.0
54000.0,4.7953734e23,4.795551e23,-1.7762197e19,-3.7040278e-5,2.2974597e21,0.0047909925,4.7953734e23,0.0
57600.0,4.79479e23,4.794981e23,-1.9095262e19,-3.9825023e-5,2.3626737e21,0.004927585,4.79479e23,0.0
61200.0,4.794222e23,4.7944248e23,-2.0284213e19,-4.2309708e-5,2.4244656e21,0.0050570574,4.794222e23,0.0
64800.0,4.7936653e23,4.7938793e23,-2.1401105e19,-4.4644556e-5,2.482687e21,0.0051790997,4.7936653e23,0.0
68400.0,4.79312e23,4.793345e23,-2.2517998e19,-4.6979836e-5,2.5389516e21,0.005297075,4.79312e23,0.0
72000.0,4.7925848e23,4.7928215e23,-2.367092e19,-4.9390717e-5,2.5953102e21,0.0054152617,4.7925848e23,0.0
75600.0,4.79206e23,4.7923074e23,-2.4751784e19,-5.165166e-5,2.652632e21,0.0055354736,4.79206e23,0.0
79200.0,4.7915403e23,4.7918005e23,-2.6012791e19,-5.4288997e-5,2.7103904e21,0.005656616,4.7915403e23,0.0
82800.0,4.791028e23,4.7912986e23,-2.7057627e19,-5.647562e-5,2.7670088e21,0.0057753967,4.791028e23,0.0
86400.0,4.7905164e23,4.790799e23,-2.8246577e19,-5.896353e-5,2.8212254e21,0.0058891885,4.7905164e23,0.0
