# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: v3_sphere_float32
# generated: 1789383369 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,0.018946990370750427,0.0,0.0006903238245286047,0.0,0.0,0.0,0.0,0.0,217406.8125,222808.4375,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.9063720703125,-4590.57958984375,-5398.41845703125,-3.388911008834839,-1.0472731590270996,-0.004399024415761232,-0.9598358869552612,-4.380308628082275,220944.28125,221239.84375,1077.3055419921875,307.96478271484375,1.4944219589233398,88.32921600341797,1345.8929443359375
7200.0,sphere,true,1301.13525390625,-7623.76318359375,-8109.0458984375,-10.605290412902832,-3.189276933670044,-0.008765648119151592,-3.488191843032837,-13.040843963623047,223743.28125,223682.5625,2122.200927734375,595.3472290039062,1.4998844861984253,183.671875,2639.817626953125
10800.0,sphere,true,1310.025634765625,-9568.8779296875,-9281.822265625,-20.159770965576172,-5.800726890563965,-0.011707648634910583,-7.101306915283203,-24.48129653930664,225004.84375,225710.875,3134.777099609375,865.849609375,2.013512372970581,279.61041259765625,3885.38623046875
14400.0,sphere,true,1321.319580078125,-10743.8203125,-9627.845703125,-30.495105743408203,-8.548613548278809,-0.05584641173481941,-11.384991645812988,-37.584476470947266,225437.765625,226966.515625,4117.10888671875,1119.9375,16.302093505859375,375.6134338378906,5096.421875
18000.0,sphere,true,1412.4857177734375,-11383.8076171875,-9597.5009765625,-41.039306640625,-11.29863166809082,-0.02113245241343975,-16.058374404907227,-51.24633026123047,225492.65625,227687.5625,5070.2001953125,1358.2850341796875,28.799118041992188,471.41839599609375,6261.76513671875
21600.0,sphere,true,1722.7337646484375,-11651.2607421875,-9315.00390625,-51.677520751953125,-14.046810150146484,-0.16236695647239685,-20.921905517578125,-65.12211608886719,225292.0625,228036.25,5994.76416015625,1579.7686767578125,40.21939468383789,566.84912109375,7379.9736328125
25200.0,sphere,true,2009.3853759765625,-11663.796875,-8897.09765625,-62.471763610839844,-17.16277503967285,-0.3842097222805023,-25.851152420043945,-79.1178970336914,224954.53125,228130.234375,6890.69775390625,1784.3021240234375,50.529109954833984,661.8465576171875,8454.0859375
28800.0,sphere,true,2275.41650390625,-11500.9521484375,-8414.001953125,-73.35999298095703,-20.554513931274414,-0.5968784689903259,-30.76190185546875,-93.39496612548828,224553.28125,228048.1875,7758.84423828125,1972.353271484375,59.866424560546875,756.49755859375,9485.7421875
32400.0,sphere,true,2531.772705078125,-11233.4580078125,-7913.00341796875,-84.30585479736328,-23.865354537963867,-0.7813037633895874,-35.57468795776367,-107.64398956298828,224135.734375,227858.328125,8599.6240234375,2144.36083984375,68.33003997802734,850.719482421875,10474.8154296875
36000.0,sphere,true,2783.574951171875,-10971.3154296875,-7431.20166015625,-95.2323989868164,-27.0301570892334,-0.8886224031448364,-40.226600646972656,-121.62773132324219,223738.3125,227675.453125,9414.369140625,2301.076416015625,76.20613098144531,944.5331420898438,11423.2412109375
39600.0,sphere,true,3030.549560546875,-10642.421875,-6958.21240234375,-106.01820373535156,-29.849512100219727,-0.8549123406410217,-44.646018981933594,-135.12379455566406,223350.109375,227417.34375,10204.31640625,2443.116943359375,83.64321899414062,1037.9456787109375,12332.9228515625
