ta: bit for bit over 25 hours
rhoa: bit for bit over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7754e+04  -8.59e-04  4.08e-01  3.81e-01
sfc           1   4.0929e+05  -5.43e-03  6.13e-01  5.30e-01
sub           1   2.0168e+04  -2.49e-02  1.55e-01  1.47e-01
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2465e+07  -8.04e-04  8.62e-02  5.96e-01
tropo         1   6.0593e+07  +6.96e-04  7.46e-02  5.66e-01
new_strat     1   1.1968e+04  -1.41e-02  1.06e-01  1.05e-01
new_tropo     1   4.9387e+05  -2.52e-03  4.66e-01  5.66e-01

rad           6   4.2285e+05  -2.03e-03  2.13e-01  3.94e-01
sfc           6   2.3995e+06  +1.56e-02  7.10e-01  1.02e+00
sub           6   1.7412e+05  -5.55e-02  2.23e-01  2.66e-01
mp            6   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         6   5.2295e+07  -1.20e-02  4.61e-02  8.16e-02
tropo         6   6.1097e+07  +1.03e-02  3.94e-02  8.24e-02
new_strat     6   9.4893e+04  -5.10e-02  2.14e-01  2.01e-01
new_tropo     6   2.8965e+06  +1.27e-02  5.53e-01  8.65e-01

rad          12   8.0279e+05  -4.54e-03  1.13e-01  1.96e-01
sfc          12   4.7222e+06  +2.21e-02  3.32e-01  5.33e-01
sub          12   3.0331e+05  -3.88e-02  1.36e-01  1.93e-01
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.1694e+07  -1.30e-02  2.38e-02  5.04e-02
tropo        12   6.2024e+07  +1.08e-02  1.99e-02  4.98e-02
new_strat    12   1.7103e+05  -3.58e-02  1.48e-01  1.76e-01
new_tropo    12   5.6523e+06  +1.77e-02  2.59e-01  4.43e-01

rad          24   1.5333e+06  -5.29e-03  7.47e-02  8.88e-02
sfc          24   9.1118e+06  +2.88e-02  1.42e-01  2.67e-01
sub          24   6.0408e+05  -2.68e-02  9.32e-02  1.20e-01
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   5.0593e+07  -1.46e-02  2.25e-02  4.17e-02
tropo        24   6.3567e+07  +1.16e-02  1.79e-02  4.07e-02
new_strat    24   3.5180e+05  -2.53e-02  8.43e-02  7.00e-02
new_tropo    24   1.0893e+07  +2.31e-02  1.06e-01  2.25e-01

