ta: bit for bit over 25 hours
rhoa: bit for bit over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7754e+04  +5.40e-03  5.31e-02  1.46e-01
sfc           1   4.0929e+05  +2.14e-02  1.58e-01  2.65e-01
sub           1   2.0168e+04  +9.63e-04  5.18e-03  2.75e-03
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2465e+07  +8.66e-04  1.41e-03  4.12e-03
tropo         1   6.0593e+07  -7.50e-04  1.22e-03  3.92e-03
new_strat     1   1.1968e+04  +2.27e-03  2.75e-03  1.97e-03
new_tropo     1   4.9387e+05  +1.76e-02  1.36e-01  2.20e-01

rad           6   4.2285e+05  +5.63e-05  1.86e-02  4.51e-02
sfc           6   2.3995e+06  +3.05e-03  2.53e-02  6.15e-02
sub           6   1.7412e+05  -2.05e-02  2.05e-02  1.89e-02
mp            6   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         6   5.2295e+07  -7.51e-04  4.19e-03  6.50e-03
tropo         6   6.1097e+07  +6.43e-04  3.58e-03  6.56e-03
new_strat     6   9.4893e+04  -1.26e-02  1.26e-02  6.87e-03
new_tropo     6   2.8965e+06  +2.40e-03  2.33e-02  5.56e-02

rad          12   8.0279e+05  -5.80e-04  5.12e-03  1.56e-02
sfc          12   4.7222e+06  +1.66e-03  1.60e-02  3.26e-02
sub          12   3.0331e+05  -1.18e-02  1.18e-02  1.71e-02
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.1694e+07  -7.00e-04  9.04e-04  9.68e-03
tropo        12   6.2024e+07  +5.83e-04  7.50e-04  9.57e-03
new_strat    12   1.7103e+05  -7.32e-03  7.66e-03  1.72e-02
new_tropo    12   5.6523e+06  +1.23e-03  1.41e-02  3.09e-02

rad          24   1.5333e+06  -7.73e-04  6.61e-03  9.20e-03
sfc          24   9.1118e+06  +6.60e-04  6.58e-03  2.50e-02
sub          24   6.0408e+05  -5.89e-03  6.22e-03  1.02e-02
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   5.0593e+07  -6.81e-04  6.81e-04  7.17e-03
tropo        24   6.3567e+07  +5.43e-04  5.43e-04  7.00e-03
new_strat    24   3.5180e+05  -3.67e-03  5.15e-03  5.57e-03
new_tropo    24   1.0893e+07  +4.01e-04  6.50e-03  2.07e-02

