ta: bit for bit over 25 hours
rhoa: bit for bit over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7754e+04  +5.37e-03  5.34e-02  1.45e-01
sfc           1   4.0929e+05  +2.12e-02  1.54e-01  2.62e-01
sub           1   2.0168e+04  +8.11e-04  5.03e-03  2.60e-03
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2465e+07  +7.83e-04  1.38e-03  3.88e-03
tropo         1   6.0593e+07  -6.78e-04  1.19e-03  3.69e-03
new_strat     1   1.1968e+04  +2.12e-03  2.59e-03  1.87e-03
new_tropo     1   4.9387e+05  +1.75e-02  1.34e-01  2.16e-01

rad           6   4.2285e+05  +3.27e-05  1.86e-02  4.51e-02
sfc           6   2.3995e+06  +3.07e-03  2.49e-02  5.93e-02
sub           6   1.7412e+05  -2.17e-02  2.17e-02  1.87e-02
mp            6   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         6   5.2295e+07  -1.08e-03  4.23e-03  6.92e-03
tropo         6   6.1097e+07  +9.24e-04  3.62e-03  6.98e-03
new_strat     6   9.4893e+04  -1.37e-02  1.37e-02  6.51e-03
new_tropo     6   2.8965e+06  +2.42e-03  2.30e-02  5.40e-02

rad          12   8.0279e+05  -6.02e-04  5.08e-03  1.57e-02
sfc          12   4.7222e+06  +1.70e-03  1.60e-02  3.22e-02
sub          12   3.0331e+05  -1.25e-02  1.25e-02  1.73e-02
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.1694e+07  -1.02e-03  1.02e-03  9.92e-03
tropo        12   6.2024e+07  +8.52e-04  8.52e-04  9.80e-03
new_strat    12   1.7103e+05  -7.92e-03  7.97e-03  1.74e-02
new_tropo    12   5.6523e+06  +1.26e-03  1.42e-02  3.06e-02

rad          24   1.5333e+06  -7.99e-04  6.64e-03  9.29e-03
sfc          24   9.1118e+06  +6.99e-04  6.36e-03  2.49e-02
sub          24   6.0408e+05  -6.22e-03  6.40e-03  1.05e-02
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   5.0593e+07  -9.89e-04  9.89e-04  7.45e-03
tropo        24   6.3567e+07  +7.88e-04  7.88e-04  7.27e-03
new_strat    24   3.5180e+05  -3.96e-03  5.22e-03  5.65e-03
new_tropo    24   1.0893e+07  +4.30e-04  6.32e-03  2.06e-02

