time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
43200.0,638320.3965447153,0.005610084695681647,701711.0142565208,0.006167213586125765,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.5018921950187928e-206,0.0,0.0
46800.0,690480.0070977053,0.006064962656234119,762751.2325683119,0.006699770730463386,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,9.751964260019067e-206,0.0,0.0
50400.0,736641.8775690885,0.006466677314001565,816822.8859933515,0.0071705535447448,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0788255174011542e-204,0.0,0.0
54000.0,779785.2883136059,0.006842090703565015,870837.7589307094,0.00764101480752344,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,9.766263537237829e-204,0.0,0.0
57600.0,818305.3165491042,0.007175662380236113,921289.368784604,0.00807872236829401,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.78535951051139e-203,0.0,0.0
61200.0,854050.1685487976,0.0074850381050175,969174.6804384068,0.00849400852625105,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0959690157863625e-202,0.0,0.0
64800.0,890916.7530718637,0.007804004305924126,1.0181485525360762e6,0.008918493967775953,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.281806191637358e-202,0.0,0.0
68400.0,939521.7935492154,0.00822547071996412,1.0784778378767474e6,0.0094420245900562,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6010728732985056e-201,0.0,0.0
72000.0,983616.2688956194,0.008605440529634292,1.1323458773987147e6,0.009906642880024652,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.5451534458944465e-201,0.0,0.0
75600.0,1.0233374455056794e6,0.008944767028949762,1.1800797815726073e6,0.01031481723658114,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.600406390844134e-200,0.0,0.0
79200.0,1.0604791765408916e6,0.009261497553159068,1.2259205398443574e6,0.010706348914054475,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.223667559019447e-200,0.0,0.0
82800.0,1.0952964423374261e6,0.009560643420322345,1.2703608170754197e6,0.011088748504732014,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.3987364905168652e-199,0.0,0.0
86400.0,1.1271189572550652e6,0.009833383738669845,1.3151061127431595e6,0.011473450056387809,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.951226582179052e-199,0.0,0.0
