time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
43200.0,1.1378088409896222e8,1.1384427471667404e8,-63390.61771182716,-0.0005571288904443074,1.3400314108012363e6,0.011777298281807414,1.1378088409896222e8,0.0,NaN,NaN,NaN
46800.0,1.1384736332843983e8,1.139196345539104e8,-72271.22547057271,-0.0006348080742289697,1.4532312396660168e6,0.012764733386697502,1.1384736332843983e8,0.0,-72271.22547057271,0.0,0.0
50400.0,1.1391350484956488e8,1.1399368585798912e8,-80181.00842423737,-0.0007038762307430105,1.5534647635624395e6,0.01363723085874636,1.1391350484956488e8,0.0,-72271.22547057271,-7909.78295366466,-6.943674469599004e-5
54000.0,1.1396886158017538e8,1.1405991405079249e8,-91052.4706171006,-0.0007989241039584005,1.6506230472443155e6,0.014483105511088456,1.1396886158017538e8,0.0,-72271.22547057271,-18781.245146527886,-0.00016479277660692927
57600.0,1.140389936409157e8,1.141419776931512e8,-102984.05223549902,-0.0009030599880578891,1.739594685333708e6,0.015254384748530121,1.140389936409157e8,0.0,-72271.22547057271,-30712.826764926314,-0.0002693186407943445
61200.0,1.141009780533109e8,1.1421610256520051e8,-115124.51188960671,-0.0010089704212335286,1.8232248489872043e6,0.015979046631268548,1.141009780533109e8,0.0,-72271.22547057271,-42853.286419034004,-0.00037557334871408243
64800.0,1.1416148917236714e8,1.1428872097183135e8,-127231.79946421087,-0.001114489661851813,1.9090653056079394e6,0.016722498273700075,1.1416148917236714e8,0.0,-72271.22547057271,-54960.57399363816,-0.0004814283204615151
68400.0,1.1422103676922622e8,1.1435999281355369e8,-138956.04432746768,-0.0012165538700915175,2.0179996314259632e6,0.017667495310020324,1.1422103676922622e8,0.0,-72271.22547057271,-66684.81885689497,-0.0005838225666925604
72000.0,1.1430167526094338e8,1.1445040486944646e8,-148729.60850307345,-0.0013012023503901698,2.1159621462943344e6,0.018512083409658948,1.1430167526094338e8,0.0,-72271.22547057271,-76458.38303250074,-0.0006689174315070288
75600.0,1.1440627153213102e8,1.1456301386819798e8,-156742.3360669613,-0.0013700502076316697,2.2034172270782874e6,0.01925958426553091,1.1440627153213102e8,0.0,-72271.22547057271,-84471.11059638858,-0.0007383433571005315
79200.0,1.1450407133986291e8,1.1466951270316637e8,-165441.36330345273,-0.0014448513608952937,2.286399716385249e6,0.019967846467213543,1.1450407133986291e8,0.0,-72271.22547057271,-93170.13783288002,-0.0008136840615591648
82800.0,1.1456304708626999e8,1.1473811146100792e8,-175064.37473793328,-0.0015281050844091434,2.3656572594128456e6,0.020649391925054356,1.1456304708626999e8,0.0,-72271.22547057271,-102793.14926736057,-0.0008972627027801881
86400.0,1.1462167929261854e8,1.1480966644810662e8,-187987.15548807383,-0.0016400663177177854,2.442225069998224e6,0.021306833795057645,1.1462167929261854e8,0.0,-72271.22547057271,-115715.93001750112,-0.001009546629674558
