time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,1.5962989363691207e-16,1.3793454542039427e-17,1.7537949521798297e-16,1.5154361377934856e-17,0.0,0.0,0.0,0.0,0.0
360.0,0.0513157220456909,0.004440900066800432,0.051543345591718366,0.004460598774729722,0.0,0.0,0.0,0.0,0.0
600.0,0.046393717969597875,0.004016484999187894,0.046775725283389843,0.004049556861340242,0.0,0.0,0.0,0.0,0.0
960.0,0.04155676378276375,0.0035981953356141252,0.04206280421790103,0.003642010882533549,0.0,0.0,0.0,0.0,0.0
1200.0,0.039477244661556984,0.0034178860310446774,0.04003009043749812,0.0034657506647370923,0.0,0.0,0.0,0.0,0.0
1560.0,0.03730885322614669,0.0032294153011598477,0.03790832019924775,0.0032813045351638517,0.0,0.0,0.0,0.0,0.0
1800.0,0.03586609446753941,0.0031038973537380558,0.0364872075506732,0.003157649268568255,0.0,0.0,0.0,0.0,0.0
2160.0,0.03379262449003728,0.002923399056414954,0.034436848297398535,0.002979130841056753,0.0,0.0,0.0,0.0,0.0
2400.0,0.032569938912280154,0.0028168996471355456,0.03322667284773913,0.0028736990656434754,0.0,0.0,0.0,0.0,0.0
2760.0,0.031027777706706044,0.0026824480345329174,0.031700561838384066,0.0027406123184447037,0.0,0.0,0.0,0.0,0.0
3000.0,0.0299735041398057,0.0025905702949868856,0.030654937568263995,0.0026494656843795046,0.0,0.0,0.0,0.0,0.0
3360.0,0.02855419412416288,0.002466844410380428,0.029247542948674127,0.0025267439706605083,0.0,0.0,0.0,0.0,0.0
3600.0,0.027727802607166424,0.0023947638999647514,0.028428592732820935,0.0024552889591677994,0.0,0.0,0.0,0.0,0.0
3960.0,0.026548552180322007,0.0022919255228543043,0.0272597931873551,0.002353326664650956,0.0,0.0,0.0,0.0,0.0
4200.0,0.025801132934919105,0.00222675750154726,0.02651890117440977,0.0022887042313939595,0.0,0.0,0.0,0.0,0.0
4560.0,0.024825000449183746,0.0021415808556158648,0.025552065925623646,0.002204302687517145,0.0,0.0,0.0,0.0,0.0
4800.0,0.024194468012980475,0.0020865792551161234,0.024927392793134225,0.002149788152332168,0.0,0.0,0.0,0.0,0.0
5160.0,0.023279726403133506,0.002006810695383584,0.02402101763857161,0.0020707131293688503,0.0,0.0,0.0,0.0,0.0
5400.0,0.022690634585591497,0.0019554552418514595,0.023437266873068498,0.0020197992342935902,0.0,0.0,0.0,0.0,0.0
5760.0,0.021837792923209507,0.001881128036217814,0.022592104207722365,0.0019461051202263597,0.0,0.0,0.0,0.0,0.0
6000.0,0.021289011482601677,0.00183331419051492,0.02204825720983233,0.0018986970274285705,0.0,0.0,0.0,0.0,0.0
6360.0,0.02049583455853868,0.00176422510409816,0.021262255254223678,0.00183019649100441,0.0,0.0,0.0,0.0,0.0
6600.0,0.019986141778810387,0.001719840634375312,0.020757197264573576,0.00178619123723051,0.0,0.0,0.0,0.0,0.0
6960.0,0.019250698753927546,0.001655813019826087,0.02002850436451717,0.001722714521603799,0.0,0.0,0.0,0.0,0.0
7200.0,0.0188063518897276,0.001617108769516601,0.019588527938195554,0.0016843660321000085,0.0,0.0,0.0,0.0,0.0
