t_seconds,increment_ρq_tot,increment_ρq_tag_tropo,increment_ρq_tag_strat,increment_ρq_tag_evap,increment_ρq_tag_evap_tropo,increment_ρq_tag_evap_strat,ledger_n10_q_tag_led_rescale,ledger_n10_q_tag_led_empty,ledger_n10_q_tag_led_repair,ledger_n10_q_tag_led_repairnet,ledger_n10_q_tag_inc_left,ledger_n10_q_tag_inc_moved,ledger_n10_q_tag_led_fix_tropo,ledger_n10_q_tag_led_fix_strat,ledger_n10_q_tag_led_fix_evap,ledger_n10_q_tag_led_fix_evap_tropo,ledger_n10_q_tag_led_fix_evap_strat,ledger_n10_q_tag_led_inc_tropo,ledger_n10_q_tag_led_inc_strat,ledger_n10_q_tag_led_inc_evap,ledger_n10_q_tag_led_inc_evap_tropo,ledger_n10_q_tag_led_inc_evap_strat,error_n1_ρq_tot,error_n1_ρq_tag_tropo,error_n1_ρq_tag_strat,error_n1_ρq_tag_evap,error_n1_ρq_tag_evap_tropo,error_n1_ρq_tag_evap_strat,ledger_n1_q_tag_led_rescale,ledger_n1_q_tag_led_empty,ledger_n1_q_tag_led_repair,ledger_n1_q_tag_led_repairnet,ledger_n1_q_tag_inc_left,ledger_n1_q_tag_inc_moved,ledger_n1_q_tag_led_fix_tropo,ledger_n1_q_tag_led_fix_strat,ledger_n1_q_tag_led_fix_evap,ledger_n1_q_tag_led_fix_evap_tropo,ledger_n1_q_tag_led_fix_evap_strat,ledger_n1_q_tag_led_inc_tropo,ledger_n1_q_tag_led_inc_strat,ledger_n1_q_tag_led_inc_evap,ledger_n1_q_tag_led_inc_evap_tropo,ledger_n1_q_tag_led_inc_evap_strat,error_n2_ρq_tot,error_n2_ρq_tag_tropo,error_n2_ρq_tag_strat,error_n2_ρq_tag_evap,error_n2_ρq_tag_evap_tropo,error_n2_ρq_tag_evap_strat,ledger_n2_q_tag_led_rescale,ledger_n2_q_tag_led_empty,ledger_n2_q_tag_led_repair,ledger_n2_q_tag_led_repairnet,ledger_n2_q_tag_inc_left,ledger_n2_q_tag_inc_moved,ledger_n2_q_tag_led_fix_tropo,ledger_n2_q_tag_led_fix_strat,ledger_n2_q_tag_led_fix_evap,ledger_n2_q_tag_led_fix_evap_tropo,ledger_n2_q_tag_led_fix_evap_strat,ledger_n2_q_tag_led_inc_tropo,ledger_n2_q_tag_led_inc_strat,ledger_n2_q_tag_led_inc_evap,ledger_n2_q_tag_led_inc_evap_tropo,ledger_n2_q_tag_led_inc_evap_strat,error_n3_ρq_tot,error_n3_ρq_tag_tropo,error_n3_ρq_tag_strat,error_n3_ρq_tag_evap,error_n3_ρq_tag_evap_tropo,error_n3_ρq_tag_evap_strat,ledger_n3_q_tag_led_rescale,ledger_n3_q_tag_led_empty,ledger_n3_q_tag_led_repair,ledger_n3_q_tag_led_repairnet,ledger_n3_q_tag_inc_left,ledger_n3_q_tag_inc_moved,ledger_n3_q_tag_led_fix_tropo,ledger_n3_q_tag_led_fix_strat,ledger_n3_q_tag_led_fix_evap,ledger_n3_q_tag_led_fix_evap_tropo,ledger_n3_q_tag_led_fix_evap_strat,ledger_n3_q_tag_led_inc_tropo,ledger_n3_q_tag_led_inc_strat,ledger_n3_q_tag_led_inc_evap,ledger_n3_q_tag_led_inc_evap_tropo,ledger_n3_q_tag_led_inc_evap_strat,error_n4_ρq_tot,error_n4_ρq_tag_tropo,error_n4_ρq_tag_strat,error_n4_ρq_tag_evap,error_n4_ρq_tag_evap_tropo,error_n4_ρq_tag_evap_strat,ledger_n4_q_tag_led_rescale,ledger_n4_q_tag_led_empty,ledger_n4_q_tag_led_repair,ledger_n4_q_tag_led_repairnet,ledger_n4_q_tag_inc_left,ledger_n4_q_tag_inc_moved,ledger_n4_q_tag_led_fix_tropo,ledger_n4_q_tag_led_fix_strat,ledger_n4_q_tag_led_fix_evap,ledger_n4_q_tag_led_fix_evap_tropo,ledger_n4_q_tag_led_fix_evap_strat,ledger_n4_q_tag_led_inc_tropo,ledger_n4_q_tag_led_inc_strat,ledger_n4_q_tag_led_inc_evap,ledger_n4_q_tag_led_inc_evap_tropo,ledger_n4_q_tag_led_inc_evap_strat
120.0,0.0006941838958162702,0.00046853424978390466,0.00024058820535206548,0.00017850269828858159,0.00017850262817518503,7.011339660179604e-11,0.0,0.0,0.0,0.0,1.8774174039130472e-17,0.0004862102434426159,0.0,0.0,0.0,0.0,0.0,0.0002781363271336145,0.00022671459341698722,8.007927738397107e-17,8.007924592993633e-17,3.1454035085399915e-23,4.913105900695384e-6,2.5296528821574855e-6,3.2932395612085238e-6,8.134839608981838e-12,8.13483641218416e-12,3.1952527695690127e-18,0.0,0.0,0.0,0.0,6.928741201836445e-18,0.00048630329174904386,0.0,0.0,0.0,0.0,0.0,0.0002783576556309003,0.00022684239953740175,1.6924717176801312e-17,1.692471052900603e-17,6.64779535081239e-24,3.4149918342815666e-8,1.94133768230658e-8,1.733578148833268e-8,5.521834245021626e-13,5.521832171667224e-13,2.1689006794369137e-19,0.0,0.0,0.0,0.0,2.5857683618129574e-18,0.00048622097286748876,0.0,0.0,0.0,0.0,0.0,0.00027813516009554136,0.00022672226168035726,8.08301040485645e-17,8.08300722996151e-17,3.174894943805995e-23,5.0059326289243755e-9,4.7217436275393475e-9,3.548201806470461e-10,5.522205992619616e-13,5.522203824142537e-13,2.1690463165114613e-19,0.0,0.0,0.0,0.0,6.2674855157502236e-18,0.00048621020414477015,0.0,0.0,0.0,0.0,0.0,0.00027813633923975836,0.00022671454673441315,8.007896316960667e-17,8.007893171569469e-17,3.145391166633354e-23,2.19088269401424e-9,2.1627961356732943e-9,2.923547415365775e-11,5.521833572266474e-13,5.521831403859665e-13,2.1689000611103874e-19,0.0,0.0,0.0,0.0,1.3923112456476874e-17,0.00048621024547298693,0.0,0.0,0.0,0.0,0.0,0.00027813632598313177,0.00022671459493924607,8.007928689129266e-17,8.007925543725383e-17,3.145403881974463e-23
240.0,0.00039991670940765604,0.00028947721680672395,0.00013822077520873457,0.00017849948264567653,0.00017849941253354304,7.011213354163785e-11,0.0,0.0,0.0,0.0,1.018965796923056e-17,0.00012206164546816576,0.0,0.0,0.0,0.0,0.0,7.581576555361787e-5,5.63922515135275e-5,9.761328078221473e-8,9.761324244106511e-8,3.834114965602002e-14,6.8497628538766e-6,6.693872056832318e-6,1.2352843087663036e-6,5.5089803962914485e-8,5.5089782324395946e-8,2.163851477315504e-14,0.0,0.0,0.0,0.0,1.3507392579894314e-17,0.00012212039551243455,0.0,0.0,0.0,0.0,0.0,7.583849985983816e-5,5.642999628771841e-5,9.817615750556217e-8,9.817611894332233e-8,3.856223986541381e-14,4.014712576697402e-7,3.763086272236052e-7,5.5679511436438364e-8,3.599709392570237e-10,3.5997079790031776e-10,1.4139161754625818e-16,0.0,0.0,0.0,0.0,2.315031204129118e-17,0.00012206418443665401,0.0,0.0,0.0,0.0,0.0,7.581633520708612e-5,5.639344661500318e-5,9.593031060556425e-8,9.593027292546208e-8,3.76801021951367e-14,3.085477852165716e-8,2.8175878494622045e-8,4.491966114706974e-9,4.587834220247305e-11,4.587832416761876e-11,1.8020379677940464e-17,0.0,0.0,0.0,0.0,1.4117421666048863e-17,0.00012206150810822038,0.0,0.0,0.0,0.0,0.0,7.581572169439887e-5,5.6392194138145465e-5,9.741995108311098e-8,9.741991281789858e-8,3.826521241810637e-14,2.8611826692614972e-9,2.5912729789091857e-9,3.9114792734954987e-10,1.0110814877480416e-11,1.0110810899506809e-11,3.9713886451479496e-18,0.0,0.0,0.0,0.0,2.614042441349455e-17,0.00012206165335887562,0.0,0.0,0.0,0.0,0.0,7.5815763868819e-5,5.639225664950494e-5,9.759299908724698e-8,9.759296075406373e-8,3.833318328611826e-14
360.0,0.000486385135845709,0.000374108353194601,0.0001640824332194408,0.00017837750007799148,0.00017837743001377116,7.006422047237558e-11,0.0,0.0,0.0,0.0,3.558299872686504e-17,3.739201538260066e-5,0.0,0.0,0.0,0.0,0.0,2.445122950532625e-5,1.547465067161108e-5,7.313606108215158e-8,7.313603235531603e-8,2.8726835536435617e-14,4.890918242393596e-6,4.865265244651035e-6,1.6085398711751653e-7,4.7009293876766965e-6,4.700927541216793e-6,1.8464601920043647e-12,0.0,0.0,0.0,0.0,6.104668777597524e-15,3.793035668598304e-5,0.0,0.0,0.0,0.0,0.0,2.4992650327502425e-5,1.5464928010531643e-5,2.218106236521667e-7,2.2181053652801457e-7,8.712415204768307e-14,6.53424003386853e-7,6.505138507779007e-7,1.1364462386017374e-8,1.3526372481730372e-7,1.3526367168746908e-7,5.312972450761591e-14,0.0,0.0,0.0,0.0,1.6031565751011898e-15,3.7396261741056894e-5,0.0,0.0,0.0,0.0,0.0,2.445529344893077e-5,1.547460779762109e-5,7.317790742101138e-8,7.317787867773917e-8,2.8743272200872307e-14,7.553432559417525e-8,7.499659314929418e-8,1.1234056093332515e-9,7.53971917248081e-9,7.539716211112744e-9,2.9614976450696435e-15,0.0,0.0,0.0,0.0,1.2536022661342969e-16,3.739070072178207e-5,0.0,0.0,0.0,0.0,0.0,2.4449938375807934e-5,1.547464077537791e-5,7.311695719622577e-8,7.311692847689396e-8,2.87193317936721e-14,1.5599390079147624e-8,1.5530183896854925e-8,1.0269288404697556e-10,5.278190431356501e-10,5.278188360724703e-10,2.0732003651400303e-16,0.0,0.0,0.0,0.0,5.824492054337162e-17,3.739053689586593e-5,0.0,0.0,0.0,0.0,0.0,2.4449751341600636e-5,1.5474646534658877e-5,7.311629190720387e-8,7.311626318813341e-8,2.87190704773251e-14
480.0,0.0005269987291059049,0.00043001480303048054,0.0001722084196182397,0.00017733651562021677,0.00017733644596488077,6.965533614264809e-11,0.0,0.0,0.0,0.0,1.0694965882334412e-17,1.7495140677916318e-5,0.0,0.0,0.0,0.0,0.0,1.3160230803385077e-5,7.502387236273927e-6,1.0839399346744015e-7,1.0839395089177535e-7,4.257566482803843e-14,4.6204134145355624e-6,4.529791521459999e-6,1.278509741501492e-7,1.6519764614128698e-5,1.6519758125393398e-5,6.488735572423642e-12,0.0,0.0,0.0,0.0,1.7142535195031866e-13,2.501523313620981e-5,0.0,0.0,0.0,0.0,0.0,2.0756354069720225e-5,7.479347796964398e-6,3.6236280379095833e-7,3.623626614598495e-7,1.423311088264902e-13,4.600005500442553e-7,4.58770703614733e-7,1.9852770119705193e-9,1.2174719284451404e-6,1.2174714502388463e-6,4.782061727303867e-13,0.0,0.0,0.0,0.0,9.88880091439003e-15,1.7803012675618614e-5,0.0,0.0,0.0,0.0,0.0,1.3468177004069571e-5,7.502375192830167e-6,1.0451927471808054e-7,1.0451923366435181e-7,4.105372877329564e-14,1.1962893072762354e-7,1.1943493361655973e-7,2.673745365523398e-10,1.0760379904010033e-7,1.0760375677489947e-7,4.226528736129015e-14,0.0,0.0,0.0,0.0,1.2475569189131544e-15,1.7477568792345393e-5,0.0,0.0,0.0,0.0,0.0,1.3142668201169679e-5,7.502355023566029e-6,1.0482431875178296e-7,1.0482427757823712e-7,4.11735458602139e-14,4.982547991945821e-8,4.979483282980574e-8,3.1885765208315134e-11,3.3040476887517557e-9,3.3040463909414856e-9,1.2977843373409189e-15,0.0,0.0,0.0,0.0,1.2912372213253682e-16,1.748758009101134e-5,0.0,0.0,0.0,0.0,0.0,1.315267189963858e-5,7.502374428143569e-6,1.0684916988237129e-7,1.068491279134919e-7,4.1968879441945075e-14
600.0,0.0005727768096197325,0.00048023516507475353,0.00016709799695069594,0.00022550677332322001,0.0002255066847472714,8.857594863266921e-11,0.0,0.0,0.0,0.0,1.8877501007079887e-17,1.6117533513436163e-5,0.0,0.0,0.0,0.0,0.0,1.4373574367730555e-5,4.908363046877186e-6,4.1777547695484595e-8,4.1777531285840405e-8,1.640964421662939e-14,6.697795123974861e-6,6.643215234859468e-6,1.307115783711889e-7,5.483510894469425e-5,5.4835087406220085e-5,2.153847408472469e-11,0.0,0.0,0.0,0.0,8.8165573848145e-13,3.952925939192943e-5,0.0,0.0,0.0,0.0,0.0,3.78508447836539e-5,4.8837818316008254e-6,6.439493158019068e-7,6.439490628675023e-7,2.52934404931415e-13,3.6853302491299256e-7,3.6759147578360376e-7,2.871222372691391e-9,7.729207888743026e-6,7.729204852816925e-6,3.035926197849631e-12,0.0,0.0,0.0,0.0,8.019319172500149e-14,1.6773554993024435e-5,0.0,0.0,0.0,0.0,0.0,1.5029503624382001e-5,4.9083568025911495e-6,5.679701025997301e-8,5.679698795089121e-8,2.2309081847691595e-14,1.3814849049833058e-7,1.379520797389426e-7,3.1406829427397353e-10,1.5662633538200682e-6,1.5662627386135747e-6,6.152066313963145e-13,0.0,0.0,0.0,0.0,8.140231824517363e-15,1.640214305447465e-5,0.0,0.0,0.0,0.0,0.0,1.4658193221159344e-5,4.908357607653238e-6,4.3636269639164654e-8,4.3636252499440135e-8,1.7139724546278035e-14,5.374845527374508e-8,5.372629440754923e-8,3.590032350413273e-11,2.9990818975135405e-7,2.9990807195148686e-7,1.1779979828738373e-13,0.0,0.0,0.0,0.0,8.67526846410063e-16,1.6259333823426802e-5,0.0,0.0,0.0,0.0,0.0,1.451537399099653e-5,4.908361793924358e-6,4.271980348943741e-8,4.2719786709688136e-8,1.6779749289634775e-14
720.0,0.0006192632979037864,0.000527227783254292,0.00016021600110040842,0.0002244107266552964,0.00022441063850986003,8.814543662663797e-11,0.0,0.0,0.0,0.0,3.1335995735113985e-18,2.060136793944334e-5,0.0,0.0,0.0,0.0,0.0,1.9141463383665036e-5,4.999617321761237e-6,6.816957852685768e-8,6.816955175078803e-8,2.677606972474876e-14,1.001742828687837e-5,9.974018761901222e-6,1.1754889459470848e-7,0.00012614752471273348,0.00012614747516372655,4.9549006907558445e-11,0.0,0.0,0.0,0.0,2.5897008893940916e-12,6.282596358301245e-5,0.0,0.0,0.0,0.0,0.0,6.139314941893306e-5,4.978935493301697e-6,5.018094358771001e-7,5.018092387732787e-7,1.9710382158646202e-13,3.227837351376349e-7,3.217677329188853e-7,3.0282727069968875e-9,1.7976059354061493e-5,1.7976052293313467e-5,7.06074804982014e-12,0.0,0.0,0.0,0.0,5.0428541737591715e-14,2.0934336900973173e-5,0.0,0.0,0.0,0.0,0.0,1.947442656685033e-5,4.9996214286845786e-6,7.897571912800763e-8,7.897568810743508e-8,3.10205726312444e-14,1.074818308387411e-7,1.0728948365150939e-7,3.2412151084149313e-10,3.2079265744127205e-6,3.2079253143834115e-6,1.2600292899640578e-12,0.0,0.0,0.0,0.0,9.231244364392725e-15,2.083435014943028e-5,0.0,0.0,0.0,0.0,0.0,1.9374467497502252e-5,4.999615170487461e-6,7.019290006369896e-8,7.01928724928965e-8,2.7570802503164033e-14,3.966372161181425e-8,3.964186799063936e-8,3.454286338792881e-11,3.9489228630591335e-7,3.948921311976314e-7,1.5510824066083347e-13,0.0,0.0,0.0,0.0,8.361727706398533e-16,2.0703306485289907e-5,0.0,0.0,0.0,0.0,0.0,1.9243407346554144e-5,4.999617365399527e-6,6.910754049447794e-8,6.910751334998981e-8,2.7144488242024304e-14
840.0,0.0006622112508203443,0.0005705546234821908,0.00015449477411039195,0.0003831535037553156,0.0003831533532579068,1.504974088668026e-10,0.0,0.0,0.0,0.0,3.164344278537335e-17,2.3110700385897845e-5,0.0,0.0,0.0,0.0,0.0,2.185752612007252e-5,5.019996391911179e-6,7.998210265481765e-8,7.998207123895144e-8,3.1415866192771775e-14,1.2929381023205674e-5,1.2891306370312923e-5,1.0976876574108341e-7,0.00013708754132263614,0.00013708748747654165,5.384609446284141e-11,0.0,0.0,0.0,0.0,2.8829708928069326e-12,8.989728947732951e-5,0.0,0.0,0.0,0.0,0.0,8.866473603981534e-5,5.002343043002693e-6,6.563643579615421e-7,6.563641001506802e-7,2.578108621677044e-13,2.5885271744434044e-7,2.5793646839885706e-7,3.6514213895699054e-9,2.5316329239872663e-5,2.5316319295968093e-5,9.943904767351136e-12,0.0,0.0,0.0,0.0,1.3230299644399402e-14,2.3592851331444072e-5,0.0,0.0,0.0,0.0,0.0,2.233965001273701e-5,5.02000063718585e-6,8.816916014893858e-8,8.816912551730923e-8,3.463162939742094e-14,9.56603595585713e-8,9.552481104920313e-8,4.641011418721531e-10,3.633369428474465e-6,3.6333680013371404e-6,1.4271373720505046e-12,0.0,0.0,0.0,0.0,5.647827039148218e-15,2.3409043729996697e-5,0.0,0.0,0.0,0.0,0.0,2.2155884354920742e-5,5.01999670989166e-6,8.184005459858644e-8,8.184002245294237e-8,3.214564407708105e-14,3.541627688298174e-8,3.540246208722357e-8,6.537340936384914e-11,6.941911786430084e-7,6.941909059742903e-7,2.7266871533219397e-13,0.0,0.0,0.0,0.0,7.791998836040053e-16,2.321526254240319e-5,0.0,0.0,0.0,0.0,0.0,2.1962091457915627e-5,5.019997131114398e-6,8.060052786408015e-8,8.060049620530506e-8,3.1658775080879864e-14
960.0,0.0007113763652437702,0.000620251965567505,0.0001514227571783541,0.0004277720458020273,0.00042777187777907097,1.6802295645968808e-10,0.0,0.0,0.0,0.0,1.3873905392771694e-17,2.4648715784727824e-5,0.0,0.0,0.0,0.0,0.0,2.3496736017920347e-5,5.000544099014073e-6,8.345356927546585e-8,8.345353649605549e-8,3.2779410376120264e-14,1.4699811664749696e-5,1.4682564443089027e-5,1.3453764145816118e-7,0.00016015642646881206,0.00016015636356157782,6.290723420427133e-11,0.0,0.0,0.0,0.0,3.2662365355675607e-12,0.00011235783687661032,0.0,0.0,0.0,0.0,0.0,0.00011121760003203913,4.986655649541643e-6,7.867247726578982e-7,7.867244636432641e-7,3.09014634124158e-13,3.47597601432683e-7,3.4598589859929597e-7,9.877667642964718e-9,3.407387829283833e-5,3.4073864909088886e-5,1.3383749183694546e-11,0.0,0.0,0.0,0.0,4.1727024388244214e-14,2.4441198304060444e-5,0.0,0.0,0.0,0.0,0.0,2.3289029269491324e-5,5.000554658570824e-6,8.572528513191949e-8,8.572525146021052e-8,3.3671709015509016e-14,1.037855080422874e-7,1.0391316601040308e-7,1.7054472845400685e-9,5.7279933779741676e-6,5.727991128097391e-6,2.2498767542050706e-12,0.0,0.0,0.0,0.0,2.8970760994230217e-15,2.4799412042137444e-5,0.0,0.0,0.0,0.0,0.0,2.3647442657874706e-5,5.0005512301849746e-6,8.433170874554902e-8,8.433167562121755e-8,3.312433144189649e-14,3.859367290895768e-8,3.858574971624888e-8,2.982880395095007e-10,9.823431304991945e-7,9.823427446483005e-7,3.858508256071462e-13,0.0,0.0,0.0,0.0,6.061178508689631e-17,2.469776624856001e-5,0.0,0.0,0.0,0.0,0.0,2.3545788301628844e-5,5.000546925584101e-6,8.37357702653804e-8,8.37357373751254e-8,3.289025503066611e-14
1080.0,0.0007097734010145002,0.0006202625498731606,0.00015072788559290063,0.0004550784464476158,0.00045507826769908223,1.787485338127906e-10,0.0,0.0,0.0,0.0,1.6833982071192374e-17,2.4417942035474045e-5,0.0,0.0,0.0,0.0,0.0,2.334907117146104e-5,4.97027736736733e-6,7.456051598627042e-8,7.45604866999287e-8,2.928634176570504e-14,1.5173666927859562e-5,1.5249291994115248e-5,3.258550952478797e-7,0.00015817968066773037,0.00015817961853693388,6.213079573213063e-11,0.0,0.0,0.0,0.0,4.182657202091877e-12,0.00012206934527792484,0.0,0.0,0.0,0.0,0.0,0.00012100167989902743,4.967927299691286e-6,8.318786643393531e-7,8.318783375888938e-7,3.267504596658995e-13,4.2417859644986594e-7,4.2012233855103246e-7,4.7105732941898195e-8,3.061343687757127e-5,3.0613424853035876e-5,1.2024535548875277e-11,0.0,0.0,0.0,0.0,5.843344671738151e-14,2.4768819574134857e-5,0.0,0.0,0.0,0.0,0.0,2.3699924064297524e-5,4.9703479428756586e-6,7.800739512188976e-8,7.800736448166144e-8,3.064022832423441e-14,1.3959332103262445e-7,1.412579910572664e-7,9.39926262508825e-9,8.585198976471357e-6,8.58519560432396e-6,3.3721476846783983e-12,0.0,0.0,0.0,0.0,4.363315538654293e-15,2.4610196588516367e-5,0.0,0.0,0.0,0.0,0.0,2.3541303328861998e-5,4.970323508864552e-6,7.477173766884017e-8,7.477170829953342e-8,2.936930672781984e-14,5.235418283969229e-8,5.2514890186535206e-8,1.7755790921225592e-9,1.3535153769624676e-6,1.3535148453201831e-6,5.316421619475453e-13,0.0,0.0,0.0,0.0,7.507335104187962e-17,2.4479477064376126e-5,0.0,0.0,0.0,0.0,0.0,2.3410598391721405e-5,4.970293329638683e-6,7.472597842298134e-8,7.472594907164827e-8,2.9351333127511e-14
1200.0,0.0007594393990676559,0.0006743483248479771,0.00015481555808102734,0.00040509175462768136,0.0004050915955132305,1.59114451067908e-10,0.0,0.0,0.0,0.0,1.1194965353911051e-17,2.497601030965672e-5,0.0,0.0,0.0,0.0,0.0,2.399493112124427e-5,4.946990654417358e-6,7.78846591388017e-8,7.788462854678239e-8,3.0592019323798714e-14,1.4682280105637706e-5,1.5065711470196965e-5,7.597389943064367e-7,0.00011668882784688682,0.000116688782013126,4.5833761305953447e-11,0.0,0.0,0.0,0.0,5.500603812677039e-12,0.00012012770324470957,0.0,0.0,0.0,0.0,0.0,0.00011912576919521426,4.977698840008074e-6,9.640745636643777e-7,9.64074184989193e-7,3.7867518465533355e-13,5.713822149228977e-7,5.804823949212872e-7,1.2754605254648755e-7,2.2152615842852836e-5,2.2152607141611137e-5,8.701241803337815e-12,0.0,0.0,0.0,0.0,7.415463925308046e-14,2.494927672342133e-5,0.0,0.0,0.0,0.0,0.0,2.3968303190435247e-5,4.947706623405815e-6,8.529378212112722e-8,8.529374861890663e-8,3.350222058748741e-14,2.0157949700378916e-7,2.0409084881445207e-7,2.3079797923176716e-8,4.712116338889941e-6,4.712114488035622e-6,1.85085427206416e-12,0.0,0.0,0.0,0.0,5.531988251784398e-15,2.5154081674473893e-5,0.0,0.0,0.0,0.0,0.0,2.4172852839759447e-5,4.947267651065345e-6,7.848500314498974e-8,7.848497231716361e-8,3.082782616485457e-14,8.700527686983026e-8,8.41264897539697e-8,5.811103557634805e-9,4.1375458249282013e-7,4.137544199761028e-7,1.625170903088209e-13,0.0,0.0,0.0,0.0,1.5156184880223406e-16,2.5034917887759856e-5,0.0,0.0,0.0,0.0,0.0,2.4053774963548122e-5,4.947113848696726e-6,7.822174580837076e-8,7.822171508394843e-8,3.0724422315906234e-14
