rule,rung,mode,metric,window,value,threshold,verdict,od3_row,note
OD2,z30_c,untagged,startup_end_seconds,,np.float64(6600.0),,reported,OD2 windows,level 2.022e-06 kg m^-2 s^-1
OD2,z30_fo,untagged,startup_end_seconds,,none,,reported,OD2 windows,level 9.099e-07 kg m^-2 s^-1
OD2,z60_c,untagged,startup_end_seconds,,np.float64(7200.0),,reported,OD2 windows,level 1.742e-06 kg m^-2 s^-1
OD2,z60_fo,untagged,startup_end_seconds,,np.float64(75600.0),,reported,OD2 windows,level 1.924e-06 kg m^-2 s^-1
OD2,z120_c,untagged,startup_end_seconds,,np.float64(8400.0),,reported,OD2 windows,level 5.993e-06 kg m^-2 s^-1
OD2,z120_fo,untagged,startup_end_seconds,,np.float64(2400.0),,reported,OD2 windows,level 5.943e-06 kg m^-2 s^-1
R1,z30_c,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z30_c,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z30_fo,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z30_fo,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z60_c,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z60_c,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z60_fo,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z60_fo,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z120_c,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z120_c,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z120_fo,default,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R1,z120_fo,copies,model fields bit for bit,whole day,0,0,pass,Parent validity: parity,40 fields compared
R2,z30_c,default,"E rho_q_tot, n2",established,0.011292329333288565,0.001,fail,Parent validity: Newton,E n1 = 0.015611133226360561
R10,z30_c,default,"E n2 / E n1, tropo",established,0.4249250972370099,0.75,pass,Refinement,"E n1 = 0.02001207352857986, E n2 = 0.008503632290045988"
R10,z30_c,default,"E n2 / E n1, strat",established,0.17861610598123745,0.75,pass,Refinement,"E n1 = 0.024098788301077187, E n2 = 0.004304431725204608"
R10,z30_c,default,"E n2 / E n1, evap",established,0.13717149652690755,0.75,pass,Refinement,"E n1 = 0.10945946334966657, E n2 = 0.015014718396705951"
R10,z30_c,default,"E n2 / E n1, evap_tropo",established,0.13717149652690447,0.75,pass,Refinement,"E n1 = 0.10945946334966546, E n2 = 0.015014718396705462"
R10,z30_c,default,"E n2 / E n1, evap_strat",established,0.13717149652690708,0.75,pass,Refinement,"E n1 = 0.10945946334966598, E n2 = 0.015014718396705819"
R2,z30_c,default,"E rho_q_tot, n2",whole 6 h,0.008377371281515293,0.001,reported,Parent validity: Newton,E n1 = 0.012832623628903292
R10,z30_c,default,"E n2 / E n1, tropo",whole 6 h,0.2585026054587082,0.75,reported,Refinement,"E n1 = 0.020652157576153067, E n2 = 0.005338636541779368"
R10,z30_c,default,"E n2 / E n1, strat",whole 6 h,0.10713098289687607,0.75,reported,Refinement,"E n1 = 0.024092803828055228, E n2 = 0.002581085754841175"
R10,z30_c,default,"E n2 / E n1, evap",whole 6 h,0.11500888677933269,0.75,reported,Refinement,"E n1 = 0.10893373939328053, E n2 = 0.012528348100331134"
R10,z30_c,default,"E n2 / E n1, evap_tropo",whole 6 h,0.11500888677933171,0.75,reported,Refinement,"E n1 = 0.1089337393932797, E n2 = 0.012528348100330933"
R10,z30_c,default,"E n2 / E n1, evap_strat",whole 6 h,0.11500888677933169,0.75,reported,Refinement,"E n1 = 0.10893373939328001, E n2 = 0.012528348100330964"
R2,z30_c,default,"E rho_q_tot, n2",startup,0.0005371066568472773,0.001,reported,Parent validity: Newton,E n1 = 0.005359359822244847
R10,z30_c,default,"E n2 / E n1, tropo",startup,0.055240774983969135,0.75,reported,Refinement,"E n1 = 0.021491733895192423, E n2 = 0.001187220036119667"
R10,z30_c,default,"E n2 / E n1, strat",startup,0.051683621138461526,0.75,reported,Refinement,"E n1 = 0.024088164024170095, E n2 = 0.001244963543346326"
R10,z30_c,default,"E n2 / E n1, evap",startup,0.055388837273232565,0.75,reported,Refinement,"E n1 = 0.10754422521935204, E n2 = 0.005956749590350564"
R10,z30_c,default,"E n2 / E n1, evap_tropo",startup,0.055388837273237734,0.75,reported,Refinement,"E n1 = 0.10754422521935196, E n2 = 0.005956749590351115"
R10,z30_c,default,"E n2 / E n1, evap_strat",startup,0.055388837273230275,0.75,reported,Refinement,"E n1 = 0.10754422521935164, E n2 = 0.0059567495903502955"
R2,z30_c,copies,"E rho_q_tot, n2",established,0.011292329333288565,0.001,fail,Parent validity: Newton,E n1 = 0.015611133226360561
R10,z30_c,copies,"E n2 / E n1, tropo",established,0.2714752888611863,0.75,pass,Refinement,"E n1 = 0.04300343099426995, E n2 = 0.011674368851191528"
R10,z30_c,copies,"E n2 / E n1, strat",established,0.22165969172398528,0.75,pass,Refinement,"E n1 = 0.03028849461687499, E n2 = 0.006713738379560098"
R10,z30_c,copies,"E n2 / E n1, evap",established,0.48045843396806964,0.75,pass,Refinement,"E n1 = 0.031352564094028146, E n2 = 0.015063603845500293"
R10,z30_c,copies,"E n2 / E n1, evap_tropo",established,0.48045843396808313,0.75,pass,Refinement,"E n1 = 0.03135256409402895, E n2 = 0.015063603845501103"
R10,z30_c,copies,"E n2 / E n1, evap_strat",established,0.4804584339680434,0.75,pass,Refinement,"E n1 = 0.03135256409402966, E n2 = 0.015063603845500196"
R2,z30_c,copies,"E rho_q_tot, n2",whole 6 h,0.008377371281515293,0.001,reported,Parent validity: Newton,E n1 = 0.012832623628903292
R10,z30_c,copies,"E n2 / E n1, tropo",whole 6 h,0.18844259878569344,0.75,reported,Refinement,"E n1 = 0.03914062744113799, E n2 = 0.007375761553110669"
R10,z30_c,copies,"E n2 / E n1, strat",whole 6 h,0.1299623359296273,0.75,reported,Refinement,"E n1 = 0.028306666776747924, E n2 = 0.003678800536687734"
R10,z30_c,copies,"E n2 / E n1, evap",whole 6 h,0.383679326024579,0.75,reported,Refinement,"E n1 = 0.0349014935402933, E n2 = 0.013390981518790932"
R10,z30_c,copies,"E n2 / E n1, evap_tropo",whole 6 h,0.38367932602459204,0.75,reported,Refinement,"E n1 = 0.034901493540293774, E n2 = 0.013390981518791568"
R10,z30_c,copies,"E n2 / E n1, evap_strat",whole 6 h,0.3836793260245665,0.75,reported,Refinement,"E n1 = 0.034901493540294315, E n2 = 0.013390981518790885"
