run, then at 1, 12 and 24 h: gross_relative closure; copies: copy_residual_relative, copy_repair_relative; default: increment_left_relative
w3_d4w_copies                3.72e-04/5.57e-05/2.57e-04  2.09e-03/1.65e-05/2.91e-03  1.85e-03/1.04e-05/6.00e-03
w3_d4w_copies_n10            9.62e-05/5.11e-05/1.52e-04  7.38e-04/3.66e-06/1.55e-03  1.78e-03/6.55e-06/2.72e-03
w5_d4w_increment             4.10e-05/-4.13e-05  1.08e-04/-2.95e-05  1.53e-04/-2.57e-05
w5_d4w_increment_n10         1.17e-09/1.20e-09  6.13e-10/5.18e-10  5.62e-10/3.06e-10
w4_d4w_default_dt60          2.45e-05/-2.32e-05  3.62e-05/-5.43e-06  8.22e-05/-1.14e-05
w4_d4w_default_dt30          1.26e-05/-1.24e-05  1.82e-05/-1.99e-06  2.25e-05/-1.08e-06
w4_d4w_default_n2            1.62e-06/7.78e-07  2.74e-05/2.92e-05  5.74e-05/6.25e-05
w4_d4w_default_n4            2.08e-07/1.91e-07  2.60e-07/2.18e-07  4.29e-07/4.46e-07
w4_d4w_default_z60           4.91e-05/-3.77e-05  7.29e-05/-4.12e-06  8.32e-05/-4.58e-06
w4_d4w_default_z120          7.25e-03/7.26e-03  3.03e-02/3.07e-02  2.97e-02/3.04e-02
w4_d4w_default_upwind        2.73e-05/-2.74e-05  3.77e-05/-9.05e-06  7.82e-05/-1.01e-05
w4_d4w_copies_dt60           1.71e-04/8.23e-05/1.82e-03  1.22e-03/4.63e-06/1.25e-02  1.65e-03/4.25e-06/1.56e-02
w4_d4w_copies_dt30           1.49e-04/5.01e-05/2.82e-03  1.03e-03/2.24e-06/1.70e-02  1.61e-03/2.41e-06/1.81e-02
w4_d4w_copies_n2             1.12e-04/5.18e-05/1.96e-04  8.22e-04/3.37e-06/1.43e-03  1.90e-03/5.95e-06/2.98e-03
w4_d4w_copies_n4             9.59e-05/5.12e-05/1.57e-04  1.10e-03/5.18e-06/1.56e-03  1.45e-03/3.70e-06/2.77e-03
w4_d4w_copies_z60            6.23e-04/5.94e-05/8.23e-04  1.67e-03/1.29e-05/3.54e-03  1.57e-03/6.96e-06/6.17e-03
w4_d4w_copies_z120           1.74e-01/2.41e-03/4.61e-02  1.31e-01/1.38e-03/4.62e-01  1.23e-01/1.01e-03/8.80e-01
w4_d4w_copies_upwind         2.44e-04/4.18e-06/1.51e-04  3.16e-02/9.91e-05/1.19e-02  1.06e+00/7.39e-03/9.49e-01
