t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
120.0,1.0216176572229565e-10,3.5516837812145977e-6,2.566704395771629e-11,1.82995945216675e-6,1.0216182674000807e-10,3.551688351189068e-6,6.870910140521995e-35,1.1134152549829686e-25,1.0684079408707916e-14,3.5516837812145977e-6,1.0989807472230203e-15,1.82995945216675e-6,1.1434488184234925e-14,3.551688351189068e-6,5.088719909737691e-39,1.1134152549829686e-25
240.0,2.962692168042647e-11,7.059600096594259e-7,1.2189506803264984e-11,6.256048907686911e-7,3.0271723033184814e-11,6.024053308983493e-7,1.3604204443466957e-17,3.327084334360495e-7,9.786883105674407e-16,7.059600096594259e-7,2.525671861394423e-16,6.256048907686911e-7,9.66120062165861e-16,6.024053308983493e-7,4.487323571510644e-21,3.327084334360495e-7
360.0,3.6310326827186916e-11,2.1313687878232533e-6,2.6559260110692207e-11,1.390112000197326e-6,1.8157389256486662e-11,1.3167794119962298e-6,1.342806252727264e-15,8.191712933192197e-7,1.1574195416274885e-15,2.1313687878232533e-6,5.807059685679226e-16,1.390112000197326e-6,1.0156887743463175e-15,1.3167794119962298e-6,4.48327142034527e-20,8.191712933192197e-7
480.0,5.474845371186998e-11,2.2487566210651907e-6,4.691660706507247e-11,1.765094347767573e-6,1.0187122893258926e-11,8.70553889021379e-7,1.604541309580877e-14,1.3875433542103145e-6,3.9504978738252167e-16,2.2487566210651907e-6,1.3104861286375292e-16,1.765094347767573e-6,4.258492023638885e-16,8.70553889021379e-7,1.0353132006955762e-17,1.3875433542103145e-6
600.0,8.312716084758516e-11,2.8871796994679148e-6,7.875497129112671e-11,2.3652149722083302e-6,4.560783717152797e-12,8.82915347582653e-7,1.0022359503558705e-14,2.016514721768613e-6,4.366015180056734e-16,2.8871796994679148e-6,3.2692302086110414e-16,2.3652149722083302e-6,1.3241647535580756e-16,8.82915347582653e-7,3.3545235364094736e-19,2.016514721768613e-6
720.0,1.2019551837788678e-10,3.598345868602119e-6,1.1402724570191553e-10,3.0176781522295886e-6,7.391181658732664e-12,9.182374997994569e-7,1.851648042648712e-14,2.6946363651551312e-6,2.573090402677969e-15,3.598345868602119e-6,2.4974935610716837e-15,3.0176781522295886e-6,2.6961257234451393e-16,9.182374997994569e-7,3.8676421706535208e-19,2.6946363651551312e-6
840.0,1.5075727537594776e-10,4.166011603059569e-6,1.4603663913494632e-10,3.6362422651936473e-6,4.98376611644261e-12,7.679229781454487e-7,4.123910467128835e-14,3.414544762546792e-6,5.19301844508643e-15,4.166011603059569e-6,5.120596064909021e-15,3.6362422651936473e-6,2.2188644799191117e-16,7.679229781454487e-7,1.826218719360623e-18,3.414544762546792e-6
960.0,1.896666864417835e-10,4.9447655603949995e-6,1.8421166861982433e-10,4.355356015180299e-6,5.858269992673005e-12,7.914946502987598e-7,7.390580072830363e-14,4.1710166978568105e-6,8.289449768882025e-15,4.9447655603949995e-6,8.201536715692009e-15,4.355356015180299e-6,3.2791268543372494e-16,7.914946502987598e-7,4.181726247107889e-18,4.1710166978568105e-6
1080.0,2.3029583047864864e-10,5.626685331417393e-6,2.25191040548712e-10,5.054032126681972e-6,5.290194343794135e-12,6.855754968062772e-7,1.2055279521404365e-13,4.960106638953583e-6,1.1872567112989067e-14,5.626685331417393e-6,1.1842135790675859e-14,5.054032126681972e-6,3.745425109245642e-16,6.855754968062772e-7,6.080663168771945e-18,4.960106638953583e-6
1200.0,2.8637387385917867e-10,6.417740104918108e-6,2.8128285246867133e-10,5.830909773410904e-6,5.254876261143199e-12,6.596210403443829e-7,1.9891992698218676e-13,5.778699403085519e-6,1.0576053220598516e-14,6.417740104918108e-6,1.0531925499999966e-14,5.830909773410904e-6,4.0309225933758284e-16,6.596210403443829e-7,3.50936916569691e-18,5.778699403085519e-6
