run_dir,output_indices,config_file,commit,dirty,date,slurm_job,purpose,finding_ids,small_tables_in_repo,netcdf_on_scratch,in_archive,status
a1_dt10,0000,configs/a1_dt10.yml,3659746d1005b84d057c8ade3c59138b4c91fa6d,yes,2026-09-10,27360483,"A1, van Leer, dt 10s.","W1, T1, T2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a1_dt10_notags,0000,configs/a1_dt10_notags.yml,c7c00de9e395eaf1db9c044b19f6c45b3e47d9ea,yes,2026-09-10,27368035,A1 at dt 10s with no water tags; the cost baseline.,"T1, T2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a1_dt2p5,0000,configs/a1_dt2p5.yml,3659746d1005b84d057c8ade3c59138b4c91fa6d,yes,2026-09-10,27360496,"A1, van Leer, dt 2.5s.",W1,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a1_dt5,0000,configs/a1_dt5.yml,3659746d1005b84d057c8ade3c59138b4c91fa6d,yes,2026-09-10,27360484,"A1, van Leer, dt 5s.",W1,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_first_order_dt10,0000,configs/a2_first_order_dt10.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360828,"A2, both upwinding keys first_order, dt 10s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_first_order_dt2p5,0000,configs/a2_first_order_dt2p5.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360830,"A2, both upwinding keys first_order, dt 2.5s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_first_order_dt5,0000,configs/a2_first_order_dt5.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360829,"A2, both upwinding keys first_order, dt 5s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_none_dt10,0000,configs/a2_none_dt10.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360825,"A2, both upwinding keys none, dt 10s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_none_dt2p5,0000,configs/a2_none_dt2p5.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360827,"A2, both upwinding keys none, dt 2.5s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a2_none_dt5,0000,configs/a2_none_dt5.yml,66d6dedcdbfab7447bbe96a3544c6d4f7e507763,yes,2026-09-10,27360826,"A2, both upwinding keys none, dt 5s.","W1, W2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
