workflow	version	group	testset	seconds	compile_pct
Downgrade	1.10	infrastructure	Aqua	330.8	2.58
Downgrade	1.10	infrastructure	Dependencies	0.4	93.94
Downgrade	1.10	infrastructure	Callbacks	1.4	98.22
Downgrade	1.10	infrastructure	Configuration tests	5.5	97.47
Downgrade	1.10	infrastructure	Grids	15.4	99.8
Downgrade	1.10	infrastructure	Utilities	85.0	98.66
Downgrade	1.10	infrastructure	Variable manipulations	6.3	96.59
Downgrade	1.10	infrastructure	Tracer processes	13.7	98.0
Downgrade	1.10	infrastructure	Tagged tracers	6.8	96.61
Downgrade	1.10	infrastructure	Tagged water	8.1	96.97
Downgrade	1.10	infrastructure	Energy source tags	7.2	97.11
Downgrade	1.10	infrastructure	Process records	2.4	96.25
Downgrade	1.10	infrastructure	Parent-budget packets	2.5	96.99
Downgrade	1.10	infrastructure	Parent-budget registry	8.8	97.38
Downgrade	1.10	infrastructure	Parent-budget journal	4.5	71.86
Downgrade	1.10	infrastructure	Parent-budget endpoints	12.7	98.25
Downgrade	1.10	infrastructure	Parameter tests	13.2	82.61
Downgrade	1.10	infrastructure	Check TOML path	93.0	99.89
Downgrade	1.10	infrastructure	Radiation interface tests	5.4	97.85
Downgrade	1.10	infrastructure	Coupler compatibility	200.9	99.64
Downgrade	1.10	infrastructure	Surface albedo tests	99.8	98.13
Downgrade	1.10	infrastructure	Larcform1 setup	31.5	99.68
Downgrade	1.10	infrastructure	SlabOcean SST warning	1.4	90.31
Downgrade	1.10	infrastructure	Model getters	0.3	15.51
Downgrade	1.10	infrastructure	Tracer config	13.5	93.72
Downgrade	1.10	infrastructure	AtmosModel Constructor	1.2	93.05
Downgrade	1.10	infrastructure	Presets	240.1	99.67
Downgrade	1.10	infrastructure	Topography tests	2.5	97.02
Downgrade	1.10	parent_budget	Parent-budget envelopes	317.0	98.61
Downgrade	1.10	parent_budget	Parent-budget implicit attribution	307.6	99.73
Downgrade	1.10	parent_budget	Parent-budget explicit attribution	128.4	99.35
Downgrade	1.10	parent_budget	Parent-budget transfers	246.8	99.68
Downgrade	1.10	parent_budget	Parent-budget restarts	105.6	99.45
Downgrade	1.10	parent_budget	Parent-budget report	373.2	96.82
Downgrade	1.10	diagnostics	Diagnostics unit tests	1527.7	99.64
Downgrade	1.10	diagnostics	DiagnosticsConfig	0.3	84.71
Downgrade	1.10	diagnostics	COSP subcolumn tests	290.4	91.64
Downgrade	1.10	diagnostics	COSP CloudSat optics tests	35.2	72.42
Downgrade	1.10	diagnostics	COSP CloudSat reflectivity tests	6.3	62.98
Downgrade	1.10	diagnostics	COSP CloudSat cloud fraction tests	8.7	42.69
Downgrade	1.10	diagnostics	COSP CloudSat CFAD tests	6.7	88.26
Downgrade	1.10	dynamics	Prognostic equations	7.4	46.1
Downgrade	1.10	dynamics	Advection operators	132.5	99.8
Downgrade	1.10	dynamics	Post-Newton implicit-advection correction	143.3	99.84
Downgrade	1.10	dynamics	Vertical diffusion tendency	34.2	98.75
Downgrade	1.10	dynamics	Eddy diffusion closures	10.6	98.12
Downgrade	1.10	dynamics_tracers	Tracer/mass transport consistency	1601.2	99.72
Downgrade	1.10	dynamics_tracers	Vertical water borrowing limiter	215.7	99.62
Downgrade	1.10	dynamics_tracers	Enforce physical constraints	530.0	99.85
Downgrade	1.10	dynamics_edmfx	EDMFX SGS diffusive flux	621.2	99.49
Downgrade	1.10	dynamics_edmfx	EDMFX horizontal diffusive flux	1674.8	99.94
